127.0.0.1 - - [18/Aug/2021:22:52:32 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Aug/2021:22:52:34 +0700] "GET /cvietnamwork/public/public.jsp HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [18/Aug/2021:22:52:34 +0700] "GET /cvietnamwork/public/reset/reset.css HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [18/Aug/2021:22:52:34 +0700] "GET /cvietnamwork/public/style/stylePublic.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:10:34 +0700] "GET /cvietnamwork/admin/cat/addCat.jsp HTTP/1.1" 200 1662
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:10:34 +0700] "GET /cvietnamwork/admin/cat/reset/reset.css HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:10:34 +0700] "GET /cvietnamwork/admin/cat/style/style.css HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:10:34 +0700] "GET /cvietnamwork/templates/admin/assets/css/reset/reset.css HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:10:34 +0700] "GET /cvietnamwork/templates/admin/assets/css/style/style.css HTTP/1.1" 200 4324
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:13:42 +0700] "GET /cvietnamwork/public/cat.jsp HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:13:42 +0700] "GET /cvietnamwork/templates/public/assets/css/reset/reset.css HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:13:42 +0700] "GET /cvietnamwork/templates/public/assets/css/style/style.css HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:14:23 +0700] "GET /cvietnamwork/public/cat.jsp HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:15:50 +0700] "GET /cvietnamwork/public/cat.jsp HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:15:50 +0700] "GET /cvietnamwork/templates/public/assets/css/style/stylePublic.css HTTP/1.1" 200 5324
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:15:50 +0700] "GET /cvietnamwork/templates/public/assets/css/reset/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:17:28 +0700] "GET /cvietnamwork/public/login.jsp HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:17:28 +0700] "GET /cvietnamwork/templates/public/assets/css/style/styleLogin.css HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:20:57 +0700] "GET /cvietnamwork/admin/cat/addCat.jsp HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:20:57 +0700] "GET /cvietnamwork/templates/admin/assets/css/reset/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:20:57 +0700] "GET /cvietnamwork/templates/admin/assets/css/style/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:20:58 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:22:12 +0700] "GET /cvietnamwork/admin/cat/addCat.jsp HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:22:12 +0700] "GET /cvietnamwork/admin/cat/addCat.jsp HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:23:34 +0700] "GET /cvietnamwork/admin/cat/addCat.jsp HTTP/1.1" 500 2702
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:23:53 +0700] "GET /cvietnamwork/admin/cat/addCat.jsp HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:23:53 +0700] "GET /cvietnamwork/templates/admin/assets/css/style/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:23:53 +0700] "GET /cvietnamwork/templates/admin/assets/css/reset/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:25:11 +0700] "GET /cvietnamwork/admin/news/editNews.jsp HTTP/1.1" 200 3181
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:28:08 +0700] "GET /cvietnamwork/public/404.jsp HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:28:08 +0700] "GET /cvietnamwork/templates/public/assets/css/reset/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:28:08 +0700] "GET /cvietnamwork/templates/public/assets/css/style/stylePublic.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:29:30 +0700] "GET /cvietnamwork/public/cat.jsp HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:29:30 +0700] "GET /cvietnamwork/templates/public/assets/css/style/stylePublic.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:31:23 +0700] "GET /cvietnamwork/public/cat.jsp HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:31:24 +0700] "GET /cvietnamwork/templates/public/assets/css/reset/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:31:24 +0700] "GET /cvietnamwork/templates/public/assets/css/style/stylePublic.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:31:30 +0700] "GET /cvietnamwork/public/cat.jsp HTTP/1.1" 200 2212
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:31:40 +0700] "GET /cvietnamwork/public/cat.jsp HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:33:13 +0700] "GET /cvietnamwork/public/cat.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:33:13 +0700] "GET /cvietnamwork/templates/public/assets/css/style/stylePublic.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:33:14 +0700] "GET /cvietnamwork/public/cat.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:33:17 +0700] "GET /cvietnamwork/public/cat.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:34:50 +0700] "GET /cvietnamwork/public/404.jsp HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:34:50 +0700] "GET /cvietnamwork/templates/public/assets/css/reset/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:36:18 +0700] "GET /cvietnamwork/templates/public/inc/header.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:36:18 +0700] "GET /cvietnamwork/templates/public/assets/css/style/stylePublic.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:42:55 +0700] "GET /cvietnamwork/admin/user/addUser.jsp HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:42:55 +0700] "GET /cvietnamwork/templates/admin/assets/css/style/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:42:55 +0700] "GET /cvietnamwork/templates/admin/assets/css/reset/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:44:01 +0700] "GET /cvietnamwork/public/login.jsp HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:44:01 +0700] "GET /cvietnamwork/templates/public/assets/css/style/styleLogin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:44:01 +0700] "GET /cvietnamwork/templates/public/assets/css/reset/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:23:44:06 +0700] "GET /cvietnamwork/public/contact.jsp HTTP/1.1" 200 1675
